iter	MAPE	MAE
0	0.3843353428	19624.01022
1	0.3801806892	19433.44047
2	0.377545749	19303.50794
3	0.3713004699	19034.09421
4	0.3660581091	18818.78531
5	0.3610877691	18621.68412
6	0.3555476671	18401.37329
7	0.3533612477	18291.02834
8	0.3481775092	17979.77186
9	0.3446330612	17812.92194
10	0.3386519079	17570.23406
11	0.3342544026	17320.25105
12	0.332104622	17195.82979
13	0.3299902626	17099.71426
14	0.3276410938	17005.73946
15	0.3228102945	16821.96552
16	0.3202927866	16662.67446
17	0.3190063827	16581.79367
18	0.3153171324	16441.16903
19	0.3106481756	16254.23203
20	0.3065390275	16035.24776
21	0.3051709008	15964.091
22	0.3023369909	15838.4172
23	0.2998503365	15739.96865
24	0.2965668477	15541.5208
25	0.2935470377	15413.36874
26	0.2897873928	15203.83087
27	0.2881480389	15079.6316
28	0.2852699301	14956.44265
29	0.283742731	14819.52756
30	0.2814628876	14720.37371
31	0.2783905465	14550.0248
32	0.275272604	14363.85965
33	0.2730612887	14272.55173
34	0.2702358511	14117.68919
35	0.2674536103	13957.87327
36	0.2652469002	13870.75437
37	0.2630376236	13777.89775
38	0.2607911133	13668.48344
39	0.2580442927	13509.7557
40	0.254859843	13389.62293
41	0.2533728298	13350.32232
42	0.2512845703	13271.87743
43	0.2490808782	13150.67793
44	0.2478060691	13045.7566
45	0.24667151	12949.33614
46	0.2445595962	12819.28581
47	0.2429220246	12718.68626
48	0.2411666674	12632.02939
49	0.2397061244	12568.71381
50	0.2376813644	12460.91776
51	0.2359504906	12390.15349
52	0.233407034	12292.5608
53	0.231658474	12173.71013
54	0.2297402271	12080.17493
55	0.2289924547	12019.72325
56	0.2282444739	11942.19548
57	0.2268445286	11887.59332
58	0.2253496006	11828.97798
59	0.2235828476	11763.23637
60	0.2218875167	11665.79061
61	0.2197677461	11578.37013
62	0.2190504349	11510.6795
63	0.2170484741	11444.63516
64	0.2157762747	11394.9526
65	0.2141215297	11307.75164
66	0.2128005272	11224.98881
67	0.2112137008	11166.85253
68	0.2089999837	11092.18804
69	0.208056915	11024.00153
70	0.2065999017	10949.49199
71	0.2052307466	10875.21726
72	0.2039871189	10810.91571
73	0.2032290774	10775.86849
74	0.2019885169	10723.53894
75	0.2007994381	10678.81757
76	0.2000462607	10634.02885
77	0.198898354	10565.31856
78	0.197615981	10506.47912
79	0.1962973111	10432.95251
80	0.19530438	10392.93235
81	0.1935403774	10325.75519
82	0.1923626377	10282.68791
83	0.1915513028	10250.74264
84	0.1909800158	10208.16651
85	0.1901165872	10168.05407
86	0.1892029174	10134.35356
87	0.1881335787	10100.17828
88	0.1874916525	10074.37047
89	0.1868027435	10020.72406
90	0.1859637557	9987.323603
91	0.1844549459	9936.761258
92	0.1838722086	9908.059735
93	0.1831685548	9876.959696
94	0.1826273707	9827.05831
95	0.1818654447	9784.69964
96	0.1806629138	9742.203832
97	0.1792799825	9698.018887
98	0.1789147289	9675.900737
99	0.1778367351	9629.012096
100	0.1772064962	9604.865329
101	0.1765504338	9580.66694
102	0.1756271384	9521.673426
103	0.1742693904	9462.039194
104	0.173550556	9425.182762
105	0.1726010919	9388.958324
106	0.1721182407	9365.999707
107	0.1710753856	9324.437961
108	0.1704327497	9298.521793
109	0.1699065547	9283.973099
110	0.1688051349	9244.530611
111	0.1683538498	9226.061505
112	0.1677588694	9191.829198
113	0.167336996	9165.078842
114	0.1668340578	9146.956886
115	0.1662289903	9122.82808
116	0.1657201513	9095.287284
117	0.1650190362	9066.427886
118	0.1646469605	9039.86294
119	0.1638706728	9012.06415
120	0.1626943629	8951.379178
121	0.1621117525	8923.63858
122	0.1612836389	8888.451223
123	0.1607035243	8844.601059
124	0.1600247975	8821.397632
125	0.159719543	8809.831698
