iter	Passed	Remaining
0	0	527
1	0	488
2	1	454
3	1	416
4	2	402
5	2	394
6	2	384
7	3	374
8	3	367
9	3	365
10	4	360
11	4	356
12	4	351
13	4	344
14	5	343
15	5	343
16	5	346
17	6	344
18	6	341
19	6	340
20	7	339
21	7	343
22	8	343
23	8	340
24	8	349
25	9	351
26	9	352
27	10	354
28	10	353
29	10	351
30	11	349
31	11	350
32	12	353
33	12	365
34	13	362
35	13	361
36	13	360
37	14	358
38	14	357
39	14	355
40	15	356
41	15	355
42	15	353
43	16	352
44	16	351
45	16	350
46	17	349
47	17	351
48	18	351
49	18	352
50	18	352
51	19	350
52	19	348
53	19	347
54	20	345
55	20	344
56	20	343
57	21	342
58	21	341
59	22	345
60	22	346
61	22	346
62	23	345
63	23	345
64	23	343
65	24	343
66	24	341
67	24	340
68	25	339
69	25	338
70	25	337
71	26	336
72	26	336
73	26	335
74	27	335
75	27	334
76	27	333
77	28	332
78	28	331
79	28	330
80	29	331
81	29	332
82	30	332
83	30	332
84	30	332
85	31	332
86	31	331
87	31	331
88	32	330
89	32	329
90	32	329
91	33	329
92	33	330
93	34	328
94	34	329
95	34	329
96	35	329
97	35	328
98	36	328
99	36	328
100	36	327
101	37	328
102	37	328
103	38	328
104	38	328
105	39	329
106	39	330
107	39	329
108	40	328
109	40	328
110	40	327
111	41	326
112	41	326
113	41	326
114	42	325
115	42	324
116	42	323
117	43	322
118	43	321
119	43	320
120	44	319
121	44	319
122	44	318
123	45	318
124	45	317
125	45	317
